Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
BHUBNESHWAR PRASAD MEHTA,Hazaribagh,CPI, 1 ,12th Pass,Rs 970342 ,Rs 250000 
NIZAMODDIN,Hindupur,INC,0,Graduate,Rs 1405000 ,Rs 200779 
SURYAKANTA PATIL,Hingoli,NCP, 2 ,Graduate,Rs 15307225 ,Rs 272088 
JAI PARKASH,Hissar,INC, 5 ,12th Pass,Rs 4568812 ,Rs 245760 
Rupchand Pal,Hooghly,CPM,0,Post Graduate,Rs 893720 ,Rs 435000 
SARTAJ SINGH,Hoshangabad,BJP,0,Graduate,Rs 14878898 ,Rs 654724 
AVINASH RAI KHANNA,Hoshiarpur,BJP,0,Graduate Professional,Rs 1623665 ,Rs 0 
Swadesh Chakrabortty,Howrah,CPM,0,Graduate,Rs 1545667 ,Rs 0 
ASADUDDIN OWAISI,Hyderabad,AIMIM, 3 ,Graduate Professional,Rs 3902342 ,Rs 0 
MANE NIVEDITA SAMBHAJIRAO,Ichalkaranji,NCP,0,Graduate,Rs 7913845 ,Rs 387564 
K. FRANCIS GEORGE,Idukki,KEC, 1 ,Graduate Professional,Rs 11417962 ,Rs 78919 
SUMITRA MAHAJAN,Indore,BJP,0,Post Graduate,Rs 4422500 ,Rs 1250000 
DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,Rs 1107278 ,Rs 80660 
RAKESH SINGH,Jabalpur,BJP,0,Graduate,Rs 6327291 ,Rs 0 
Sujan Chakraborty,Jadavpur,CPM,0,Doctorate,Rs 1046232 ,Rs 0 
BRAHMANANDA PANDA,Jagatsinghpur,BJD,0,Post Graduate,Rs 5982315 ,Rs 53760 
GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,Rs 8990298 ,Rs 294350 
GIRDHARI LAL BHARGAVA,Jaipur,BJP,0,Graduate Professional,Rs 14248322 ,Rs 196196 
MOHAN JENA,Jajpur,BJD,0,Post Graduate,Rs 870000 ,Rs 22568 
BHANU PRATAP SINGH VERMA,Jalaun,BJP, 1 ,Post Graduate,Rs 446550 ,Rs 114460 
PRO. S.P SINGH BAGHEL,Jalesar,SP, 1 ,Post Graduate,Rs 5623000 ,Rs 787357 
Y. G. MAHAJAN (SIR),Jalgaon,BJP, 1 ,Post Graduate,Rs 6719861 ,Rs 0 
DANVE RAOSAHEB DADARAO PATIL,Jalna,BJP,0,12th Pass,Rs 9681004 ,Rs 715955 
B. SUSHEELA,Jalore,BJP,0,Post Graduate,Rs 9629204 ,Rs 904335 
Minati Sen,Jalpaiguri,CPM,0,Graduate Professional,Rs 1711703 ,Rs 47377 
MADAN LAL SHARMA,Jammu,INC,0,10th Pass,Rs 6217000 ,Rs 149750 
AHIR  VIKRAMBHAI,Jamnagar,INC,0,Graduate,Rs 4837028 ,Rs 574600 
SUNIL KUMAR MAHATO,Jamshedpur,JMM, 3 ,Graduate,Rs 3058500 ,Rs 0 
Pranab Mukherjee,Jangipur,INC,0,Doctorate,Rs 15204925 ,Rs 217267 
PARASNATH YADAVA,Jaunpur,SP,0,12th Pass,Rs 2941300 ,Rs 0 
KANTILAL BHURIA,Jhabua,INC,0,Post Graduate,Rs 14041825 ,Rs 0 
DUSHYANT SINGH,Jhalawar,BJP,0,Post Graduate,Rs 7082067 ,Rs 0 
DEVENDRA PRASAD YADAV,Jhanjharpur,RJD,0,Graduate,Rs 1137321 ,Rs 245123 
CHANDRAPAL SINGH YADAV,Jhansi,SP, 1 ,Post Graduate,Rs 5307820 ,Rs 0 
Rupchand Murmu,Jhargram,CPM, 1 ,12th Pass,Rs 1041089 ,Rs 101870 
SHISH RAM OLA,Jhunjhunu,INC,0,10th Pass,Rs 4771614 ,Rs 984980 
JASWANT SINGH BISHNOI,Jodhpur,BJP,0,Graduate Professional,Rs 6993029 ,Rs 489166 
BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,Rs 1356192 ,Rs 0 
Sanat Kumar Mandal,Joynagar,RSP,0,Graduate Professional,Rs 2189190 ,Rs 0 
RANA GURJEET SINGH,Jullundur,INC,0,10th Pass,Rs 205828008 ,Rs 2500000 
BARAD JASUBHAI DHANABHAI,Junagadh,INC, 2 ,Graduate,Rs 18457408 ,Rs 0 
DINSHA PATEL,Kaira,INC,0,10th Pass,Rs 5727475 ,Rs 3083830 
ANURADHA CHOUDHARY,Kairana,RLD,0,Graduate,Rs 43904200 ,Rs 0 
BENI PRASAD VERMA,Kaiserganj,SP,0,Graduate Professional,Rs 4112560 ,Rs 0 
BIKRAM KESHARI DEO,Kalahandi,BJP,0,Graduate,Rs 3237000 ,Rs 10823 
DIP GOGOI,Kaliabor,INC,0,Graduate,Rs 342751 ,Rs 0 
TEJASHWINI SEE RAMESH,Kanakapura,INC,0,Post Graduate,Rs 1160000 ,Rs 0 
ANANTHKUMAR HEGDE,Kanara,BJP, 3 ,12th Pass,Rs 1206000 ,Rs 13401653 
CHANDER KUMAR,Kangra,INC,0,Post Graduate,Rs 7304760 ,Rs 1916918 
SOHAN POTAI,Kanker,BJP,0,Post Graduate,Rs 2113856 ,Rs 71932 
AKHILESH YADAV,Kannauj,SP,0,Post Graduate,Rs 23142705 ,Rs 0 
SHRIPRAKASH JAISWAL,Kanpur,INC,0,10th Pass,Rs 19127260 ,Rs 0 
VAGHELA SHANKERSINH LAXMANSINH,Kapadvanj,INC,0,Post Graduate,Rs 7004174 ,Rs 0 
PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,Rs 12494141 ,Rs 0 
LALIT MOHAN SUKLABAIDYA,Karimganj,INC,0,Post Graduate,Rs 4197600 ,Rs 240000 
K. CHANDRA SHAKHER RAO,Karimnagar,TRS,0,Graduate,Rs 8598858 ,Rs 2559507 
ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,Rs 5736332 ,Rs 0 
KRISHNA TIRATH,Karol Bagh,INC,0,Graduate Professional,Rs 6415254 ,Rs 0 
PALANISAMY K. C.,Karur,DMK,0,5th Pass,Rs 546569007 ,Rs 63920476 
